Calendar Year,Facility,IFR Itinerant Air Carrier,IFR Itinerant Air Taxi,IFR Itinerant GA,IFR Itinerant Military,IFR Overflight Air Carrier,IFR Overflight Air Taxi,IFR Overflight GA,IFR Overflight Military,VFR Itinerant Air Carrier,VFR Itinerant Air Taxi,VFR Itinerant GA,VFR Itinerant Military,VFR Overflight Air Carrier,VFR Overflight Air Taxi,VFR Overflight GA,VFR Overflight Military,Local Civil,Local Military,
1989,SJU,"14,409","23,526","6,637",872,2,"1,246","3,992",615,625,710,632,285,0,0,0,0,"1,972",268,
1989,SLC,"35,054","13,130","18,101",890,0,0,0,0,"1,755",879,"1,522",243,0,0,0,0,"1,097",167,
1989,STL,"68,230","24,742","8,570","2,108",0,0,0,0,"2,014",811,"1,136",357,0,0,0,0,0,0,
1989,TEB,0,"4,005","20,292",19,0,0,0,0,9,"2,460","19,134",444,0,0,0,0,"7,385",6,
1989,TPA,"29,276","9,431","9,408",267,0,0,0,0,"2,288","1,200",719,114,0,0,0,0,3,0,
1990,ABE,"12,452","20,801","54,356","2,382",650,"30,636","54,775","3,159","2,981","1,843",225,955,0,0,0,0,"38,998","6,205",
1990,ABI,11,"15,070","32,492","3,781",0,"2,148","11,128",629,35,"1,008","3,226",0,0,0,0,0,"28,366","11,105",
1990,ABQ,"65,128","37,695","73,971","27,820",0,"1,589","30,929","32,430","4,717","2,006","3,176","2,352",0,0,0,0,"2,564","5,497",
1990,ABY,52,"10,225","10,852",854,0,0,0,0,178,896,"16,535","1,782",0,0,0,0,"8,947","3,246",
1990,ACK,0,"18,657","12,592",150,0,0,0,0,24,"37,083","43,913",463,0,0,0,0,"13,948",545,
1990,ACT,69,"8,569","18,536","3,270",36,"14,558","12,914","1,362",64,580,"11,122",197,0,0,0,0,"18,054","6,566",
1990,ACY,"7,585","17,848","36,616","7,379","1,125",964,"19,604","12,154","1,225",789,63,"1,307",0,0,0,0,"15,101","16,423",
1990,ADM,0,11,"1,374",991,0,0,0,0,13,298,"11,606","2,073",0,0,0,0,"9,211","7,369",
1990,ADQ,"2,610","2,802","1,053","1,476",0,0,0,0,486,"19,012","7,565","3,438",0,0,0,0,"4,251","6,766",
1990,ADS,0,247,"21,834",0,0,0,0,0,0,336,"122,270",89,0,0,0,0,"6,221",30,
1990,ADW,0,0,"12,516","80,669",0,0,0,0,98,0,"1,712",436,0,0,0,0,"5,042","29,183",
1990,AFW,0,0,372,0,0,0,0,0,15,12,"46,510",182,0,0,0,0,"91,763",334,
1990,AGC,0,"8,095","33,644",76,0,0,0,0,0,"4,762","64,867",422,0,0,0,0,"88,819",378,
1990,AGS,"6,009","13,202","21,484","3,336",904,"2,172","29,303","2,553",521,896,78,989,0,0,0,0,"19,411","2,149",
1990,AKN,"2,155","4,345","1,044","1,521",0,0,0,0,812,"21,437","9,905",645,0,0,0,0,"2,800","2,383",
1990,ALB,"28,460","80,331","54,892","7,368",107,"11,738","31,132","1,760","2,359","4,170",490,"1,055",0,0,0,0,"1,367","1,180",
1990,ALN,0,0,"10,416",451,0,0,0,0,0,203,"21,277","1,086",0,0,0,0,"40,643","2,688",
1990,ALO,0,"15,600","13,462",430,438,"1,814","11,428",61,29,"2,247","15,545","4,320",0,0,0,0,"30,082","4,842",
1990,ALW,0,"6,381","2,015",0,0,0,0,0,0,843,"21,228",257,0,0,0,0,"19,179",230,
1990,AMA,"11,835","4,469","20,173","7,908",0,0,"7,961",980,"1,339",708,0,5,0,0,0,0,"7,349","31,529",
1990,ANC,"94,553","51,260","33,025","2,669",41,"2,050","7,368",368,"2,241","12,718","11,444",1,39,"4,759","18,249","1,104","13,109",239,
1990,APA,0,"1,598","35,520",121,0,0,0,0,0,"2,373","133,686","2,046",0,0,0,0,"205,092","5,621",
1990,APC,0,8,"10,464",143,0,0,0,0,0,125,"68,261",768,0,0,0,0,"113,722",626,
1990,ARA,0,380,930,308,0,0,0,0,6,"4,625","2,707",468,0,0,0,0,"13,138",836,
1990,ARB,0,3,"4,843",0,0,0,0,0,0,149,"40,786",193,0,0,0,0,"62,130",201,
1990,ARR,0,0,"6,850",4,0,0,0,0,5,81,"44,551",393,0,0,0,0,"92,098",272,
1990,ASE,"4,706","6,447","9,763",0,157,845,"3,597",2,750,"1,782","15,952",115,0,0,0,0,"11,111",11,
1990,ASH,0,0,"7,670",0,0,0,0,0,0,7,"56,455",82,0,0,0,0,"48,406",36,
1990,ATL,"568,598","181,957","20,492","1,381",0,280,"18,723","1,139","13,144","3,791",0,0,0,112,"5,508",459,"1,125",14,
1990,ATW,"9,784","9,203","11,064",0,0,0,0,0,"1,661","1,342","25,044",140,0,0,0,0,"22,932",63,
1990,AUS,"57,417","25,890","90,768","6,700",4,"1,852","19,451","1,965","3,562","2,549",987,0,0,4,359,35,"4,803",298,
1990,AVL,"4,161","20,771","27,040",169,421,"6,940","26,998","1,863",420,"1,384","2,644",310,0,0,0,0,"19,310",188,
1990,AVP,"5,747","15,025","26,453",887,9,"4,877","33,710",722,698,"1,887",349,696,0,0,0,0,"14,238","1,194",
1990,AZO,"5,984","20,393","43,706",519,585,"13,910","30,033",332,729,"2,035","1,637",52,0,0,0,0,"27,101",163,
1990,BAF,0,0,"13,275","2,154",0,0,0,0,11,81,"45,966","9,363",0,0,0,0,"53,622","5,482",
1990,BDL,"65,149","58,386","38,091","7,823",0,0,0,0,"3,427","2,499","2,742","1,642",0,0,0,0,"1,804",381,
1990,BDR,0,"11,641","12,572",36,0,0,0,0,0,"7,439","59,859","2,263",0,0,0,0,"54,416",512,
1990,BED,0,"3,037","28,075","1,058",0,0,0,0,18,"17,678","105,043",987,0,0,0,0,"77,606",66,
